idDrink,strDrink,strAlcoholic,strGlass,strInstructions,ingredients,strDrinkThumb
11000,Mojito,Alcoholic,Highball glass,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,"{'Light rum': '2-3 oz ', 'Lime': 'Juice of 1 ', 'Sugar': '2 tsp ', 'Mint': '2-4 '}",https://www.thecocktaildb.com/images/media/drink/metwgh1606770327.jpg
11001,Old Fashioned,Alcoholic,Old-fashioned glass,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry.","{'Bourbon': '4.5 cL', 'Angostura bitters': '2 dashes', 'Sugar': '1 cube', 'Water': 'dash'}",https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg
11002,Long Island Tea,Alcoholic,Highball glass,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,"{'Vodka': '1/2 oz ', 'Light rum': '1/2 oz ', 'Gin': '1/2 oz ', 'Tequila': '1/2 oz ', 'Lemon': 'Juice of 1/2 ', 'Coca-Cola': '1 splash '}",https://www.thecocktaildb.com/images/media/drink/nkwr4c1606770558.jpg
11003,Negroni,Alcoholic,Old-fashioned glass,"Stir into glass over ice, garnish and serve.","{'Gin': '1 oz ', 'Campari': '1 oz ', 'Sweet Vermouth': '1 oz '}",https://www.thecocktaildb.com/images/media/drink/qgdu971561574065.jpg
11004,Whiskey Sour,Alcoholic,Old-fashioned glass,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.","{'Blended whiskey': '2 oz ', 'Lemon': '1/2 slice ', 'Powdered sugar': '1/2 tsp ', 'Cherry': '1 '}",https://www.thecocktaildb.com/images/media/drink/hbkfsh1589574990.jpg
11005,Dry Martini,Alcoholic,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.","{'Gin': '1 2/3 oz ', 'Dry Vermouth': '1/3 oz ', 'Olive': '1 '}",https://www.thecocktaildb.com/images/media/drink/6ck9yi1589574317.jpg
11006,Daiquiri,Alcoholic,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,"{'Light rum': '1 1/2 oz ', 'Lime': 'Juice of 1/2 ', 'Powdered sugar': '1 tsp '}",https://www.thecocktaildb.com/images/media/drink/mrz9091589574515.jpg
11007,Margarita,Alcoholic,Cocktail glass,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.","{'Tequila': '1 1/2 oz ', 'Triple sec': '1/2 oz ', 'Lime juice': '1 oz '}",https://www.thecocktaildb.com/images/media/drink/5noda61589575158.jpg
11008,Manhattan,Alcoholic,Cocktail glass,"Stirred over ice, strained into a chilled glass, garnished, and served up.","{'Sweet Vermouth': '3/4 oz ', 'Bourbon': '2 1/2 oz Blended ', 'Angostura bitters': 'dash ', 'Ice': '2 or 3 ', 'Maraschino cherry': '1 ', 'Orange peel': '1 twist of '}",https://www.thecocktaildb.com/images/media/drink/yk70e31606771240.jpg
11009,Moscow Mule,Alcoholic,Copper Mug,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,"{'Vodka': '2 oz ', 'Lime juice': '2 oz ', 'Ginger ale': '8 oz '}",https://www.thecocktaildb.com/images/media/drink/3pylqc1504370988.jpg
